Title,Coordinates,Reviews,Review_Points,Address,Website,Phone,Category
A Pizza Mart,"47.61173622968585, -122.3290068440003",333 reviews,4.1,"800 Seneca St, Seattle, WA 98101",apizzamartfirsthill.com,(206) 682-0483,Pizza Restaurant
A Pizza Mart Belltown,"47.61857110503294, -122.3453840168981",481 reviews,4.1,"2525 6th Ave, Seattle, WA 98121",orderapizzamartseattle.com,(206) 441-7604,Pizza Restaurant
A Very Taki Tiki Bar & Grill,"47.810596808446284, -122.3760930849106",595 reviews,4.4,"518 Main St, Edmonds, WA 98020",takitiki.com,(425) 778-3548,Bar & Grill
A+ Hong Kong Kitchen,"47.598613460629586, -122.32596121560096",707 reviews,4.5,"419 6th Ave S, Seattle, WA 98104",Not Available,(206) 682-1267,Cantonese Restaurant
Acorn Street Shop,"47.66878847857585, -122.29642278806121",160 reviews,4.8,"2818 NE 55th St, Seattle, WA 98105",acornstreet.com,(206) 525-1726,Yarn Store
Alki Beach Park,"47.580009273314374, -122.40855347457033","7,189 reviews",4.7,"2665 Alki Ave SW, Seattle, WA 98116",seattle.gov,(206) 684-4075,Park
Alki Surf Shop,"47.580226323652376, -122.40700574813474",38 reviews,4.7,"2622 Alki Ave SW, Seattle, WA 98116",alkisurfshop.com,(206) 403-1901,Gift Shop
All Water Seafood & Oyster Bar,"47.60519742216666, -122.33640000340519",194 reviews,4.3,"1000 1st Ave, Seattle, WA 98104",hotel1000seattle.com,(206) 357-9000,Seafood Restaurant
ALMA,"47.3447760911941, -122.47395792245108",326 reviews,4.6,"1322 Fawcett Ave, Tacoma, WA 98402",almamatertacoma.com,(253) 368-6509,Restaurant
Alma Aesthetica,"47.66998922568317, -122.37777725977665",13 reviews,4.7,"1546 NW 56th St, Seattle, WA 98107",almaaesthetica.com,Not Available,Medical Spa
Alpine Adventures,"47.856726352200056, -121.70028584387819",112 reviews,4.7,"221 Croft Ave, Gold Bar, WA 98251",alpineadventures.com,(800) 723-8386,Raft Trip Outfitter
Altstadt Bierhalle & Brathaus,"47.60064293278866, -122.33438890155648","1,001 reviews",4.4,"209 1st Ave S, Seattle, WA 98104",altstadtseattle.com,(206) 602-6442,German Restaurant
Altura,"47.62502077916055, -122.3211752708713",493 reviews,4.6,"617 Broadway E, Seattle, WA 98102",alturarestaurant.com,(206) 402-6749,Italian Restaurant
AMC Oak Tree 6,"47.70200704780005, -122.34250507271808","1,036 reviews",4.5,"10006 Aurora Ave N, Seattle, WA 98133",amctheatres.com,(206) 527-3117,Movie Theater
AMC Pacific Place 11,"47.61323870370405, -122.33513810580483","1,496 reviews",4,"600 Pine St #400, Seattle, WA 98101",amctheatres.com,(206) 652-8908,Movie Theater
Andover Place,"47.568710266121215, -122.40914544388625",14 reviews,4.6,"4000 Beach Dr SW, Seattle, WA 98116",seattle.gov,(206) 684-4075,Park
Ann's Hair Salon & Nails,"47.68493494767803, -122.37702809970513",28 reviews,5,"7551 15th Ave NW A, Seattle, WA 98117",Not Available,(206) 706-3180,Beauty Salon
Annie's Art and Frame,"47.66898290305584, -122.38551533223901",81 reviews,4.7,"2212 NW Market St, Seattle, WA 98107",anniesartandframe.com,(206) 784-4761,Picture Frame Shop
Annie's Hair Shop,"47.64380193312681, -122.32561176107531",19 reviews,4.4,"2608 Eastlake Ave E, Seattle, WA 98102",Not Available,(206) 720-4558,Beauty Salon
Another Castle Arcade Edition - Bremerton,"47.565325922021486, -122.62677463649077",Not Available,Not Available,"305 Pacific Ave, Bremerton, WA 98337",anothercastlearcade.com,(360) 627-7286,Not Available
Apex Art Lab,"47.580541771547786, -122.32965865922806",5 reviews,5,"2445 4th Ave S Suite 106, Seattle, WA 98134",apexartlab.com,(206) 913-2694,Picture Frame Shop
AQUA by El Gaucho,"47.61486466030823, -122.3548453303916","1,215 reviews",4.5,"2801 Alaskan Way, Pier 70, Seattle, WA 98121",elgaucho.com,(206) 956-9171,Seafood Restaurant
Arc'teryx Seattle Brand Store,"47.610589005763195, -122.33667154573399",261 reviews,4.3,"400 Pike St, Seattle, WA 98101",stores.arcteryx.com,(206) 462-6058,Outdoor Sports Store
Arcaro Boxing,"47.60653088611483, -122.31619058621402",29 reviews,4.8,"1208 E Jefferson St, Seattle, WA 98122",arcaroboxing.com,(206) 250-3655,Boxing Gym
Archie McPhee,"47.66165246086464, -122.34179460340371","1,038 reviews",4.7,"1300 N 45th St, Seattle, WA 98103",archiemcpheeseattle.com,(206) 297-0240,Novelty Store
Arena Sports Mill Creek,"47.87610088757042, -122.21512019230423","1,299 reviews",4.4,"13500 Bothell Everett Hwy Suite A, Mill Creek, WA 98012",arenasports.net,(425) 341-7050,Recreation Center
Arena Sports Redmond,"47.68409266494934, -122.14254125922521",512 reviews,4.4,"9040 Willows Rd, Redmond, WA 98052",arenasports.net,(425) 885-4881,Sports Complex
Arena Sports SODO Seattle,"47.561037556467404, -122.33819524388632",169 reviews,4.3,"4636 E Marginal Way S, Seattle, WA 98134",arenasports.net,(206) 762-8606,Sports Complex
Arepa Venezuelan Kitchen,"47.664954818910175, -122.31263082669241",765 reviews,4.7,"1405 NE 50th St, Seattle, WA 98105",app.cheqplease.com,(206) 556-4879,Venezuelan Restaurant
Aria Salon,"47.61960077371917, -122.31280798251599",17 reviews,4.2,"131 15th Ave E, Seattle, WA 98112",ariasalon.com,(206) 568-3545,Beauty Salon
Ark Lodge Cinemas,"47.559181862841875, -122.28551547457097",755 reviews,4.7,"4816 Rainier Ave S, Seattle, WA 98118",arklodgecinemas.com,(206) 972-4763,Movie Theater
Art,"47.620039940467905, -122.34262354388487",Not Available,Not Available,"Dexter Ave N, Seattle, WA 98109",Not Available,Not Available,Not Available
Art By Fire - Glass Blowing Classes,"47.5326895245378, -122.03661929970946",41 reviews,4.7,"195 Front St N, Issaquah, WA 98027",artbyfire.com,(425) 996-8867,Art Gallery
Art Marble 21,"47.626729433437404, -122.33944635737798","1,479 reviews",4.1,"731 Westlake Ave N, Seattle, WA 98109",artmarblebarseattle.com,(206) 223-0300,Bar
Art of the Table,"47.652997840849636, -122.34270819970615",421 reviews,4.6,"3801 Stone Way N Suite A, Seattle, WA 98103",artofthetable.net,(206) 282-0942,Pacific Northwest Restaurant (Us)
Art Primo,"47.61527242390298, -122.325938501556",162 reviews,4.5,"415 E Pine St, Seattle, WA 98122",artprimo.com,(206) 365-4083,Art Supply Store
Art Stall Gallery,"47.60885011045899, -122.34055265737838",Not Available,Not Available,"97 Pike Pl #2, Seattle, WA 98101",artstallgallery.com,(206) 623-7538,Art Gallery
ARTS at King Street Station,"47.59773634042479, -122.32914677087207",2 reviews,5,"303 South Jackson Street Top floor, Seattle, WA 98104",seattle.gov,(206) 684-7171,Art Gallery
ArtXchange Gallery,"47.59800107450493, -122.3339403303923",15 reviews,4.7,"512 1st Ave S, Seattle, WA 98104",artxchange.org,(206) 839-0377,Art Gallery
Asadero Ballard,"47.66709428420452, -122.38264811504796","1,586 reviews",4.6,"5405 Leary Ave NW, Seattle, WA 98107",asaderoprime.com,(206) 659-4499,Steak House
Ascension Skin Care & Salon,"47.6440945310424, -122.38367728991082",Not Available,Not Available,"2634 Thorndyke Ave W, Seattle, WA 98199",Not Available,(206) 851-9366,Beauty Salon
Ascent Outdoors,"47.665815390053154, -122.3825463843637",378 reviews,4.6,"5209 Ballard Ave NW, Seattle, WA 98107",ascentoutdoors.com,(206) 545-8810,Outdoor Clothing And Equipment Shop
Assistance League of Seattle,"47.66134550330185, -122.33980884203473",34 reviews,4.7,"1415 N 45th St, Seattle, WA 98103",seattle.assistanceleague.org,(206) 547-4680,Thrift Store
Atlas Kitchen & Lounge,"47.62535008897133, -122.35690148621352",163 reviews,4.3,"621 1/2 Queen Anne Ave N, Seattle, WA 98109",atlaskitchenandlounge.com,(206) 402-4230,Lounge
Atomic Chemistry Salon,"47.69745216230917, -122.29056656532254",10 reviews,5,"9425 35th Ave NE Suite D, Seattle, WA 98115",atomicchemistrysalon.com,(206) 406-7179,Hair Salon
Ba Bar Capitol Hill,"47.607202283608096, -122.3165945610762","1,854 reviews",4.5,"550 12th Ave, Seattle, WA 98122",babarseattle.com,(206) 328-2030,Vietnamese Restaurant
Bai Tong Thai Street Café,"47.614126492648396, -122.31645358491598",667 reviews,4.2,"1121 E Pike St, Seattle, WA 98122",baitongthaistreetcafe.com,(206) 787-8448,Thai Restaurant
Banana Republic,"47.663371133789354, -122.30074518492681",58 reviews,4.6,"4613 26th Ave NE, Seattle, WA 98105",bananarepublic.gap.com,(206) 525-5560,Clothing Store
Bar Harbor,"47.622665763120246, -122.33384184388473",377 reviews,4.5,"400 Fairview Ave N #105, Seattle, WA 98109",barharborbar.com,(206) 922-3288,American Restaurant
Barolo Ristorante,"47.61468497653605, -122.33749541689848","1,116 reviews",4.4,"1940 Westlake Ave, Seattle, WA 98101",baroloseattle.com,(206) 770-9000,Italian Restaurant
Beacon Arts,"47.58187333408259, -122.31319356107703",Not Available,Not Available,"2336 15th Ave S, Seattle, WA 98144",beacon-arts.org,(402) 401-4278,Art Center
Beaver Lodge Sanctuary,"47.6427294079487, -122.28521203039094",57 reviews,4.6,"37th Ave E, Seattle, WA 98112",Not Available,(206) 684-5146,Wildlife Refuge
Beecher's Handmade Cheese,"47.61318433740094, -122.34008659012969","1,581 reviews",4.6,"1600 Pike Pl, Seattle, WA 98101",beechershandmadecheese.com,(206) 956-1964,Cheese Shop
Bellevue Arts Museum,"47.615629010935145, -122.2012222880627",478 reviews,4.2,"510 Bellevue Way NE, Bellevue, WA 98004",bellevuearts.org,(425) 519-0770,Art Museum
Bellevue Botanical Garden,"47.60932457676951, -122.17876723039174","4,014 reviews",4.7,"12001 Main St, Bellevue, WA 98005",bellevuebotanical.org,(425) 452-2750,Botanical Garden
Bellevue Downtown Park,"47.61285716431113, -122.20416860155613","6,121 reviews",4.8,"10201 NE 4th St, Bellevue, WA 98004",parks.bellevuewa.gov,(425) 452-6914,City Park
Belltown Cottage Park,"47.614108660157044, -122.35094118806275",76 reviews,4.6,"2512 Elliott Ave, Seattle, WA 98121",seattle.gov,(206) 684-4075,Park
Belmondo's Reach,"47.457095060406736, -122.07760307272497",109 reviews,4.5,"16214-16248 SE Cedar Mountain Pl, Renton, WA 98058",kingcounty.gov,(360) 801-4155,Hiking Area
Belvidere Park,"47.58085385906464, -122.37721352854379",164 reviews,4.6,"3600 SW Admiral Way, Seattle, WA 98126",seattle.gov,(206) 684-4075,Park
Belvoir Place,"47.65532624275106, -122.28317861504837",38 reviews,4.2,"3659 42nd Ave NE, Seattle, WA 98105",seattle.gov,(206) 684-4075,Park
Bentoful,"47.62358144308961, -122.33471232484466",32 reviews,4.7,"501 Fairview Ave N, Seattle, WA 98109",instagram.com,Not Available,Asian Restaurant
Berliner Pub,"47.48055700299144, -122.204348355533","1,725 reviews",4.5,"221 Main Ave S, Renton, WA 98057",berlinerpub.com,(425) 277-1111,German Restaurant
Bezel & Kiln,"47.61286303156738, -122.33558100340505",2 reviews,5,"600 Pine St Suite 255, Seattle, WA 98101",bezelandkiln.com,(206) 623-0504,Jewelry Store
Bhy Kracke Park,"47.63065194471048, -122.3486605015557",296 reviews,4.5,"1215 5th Ave N, Seattle, WA 98109",seattle.gov,(206) 684-4075,Park
Biang Biang Noodles,"47.614063630079535, -122.32404754203608",306 reviews,4.4,"601 E Pike St Unit 100, Seattle, WA 98122",biangbiangnoodles.com,(206) 809-8999,Chinese Restaurant
Blake Island Marine State Park,"47.53898991483678, -122.49481744615612",567 reviews,4.7,"Manchester, WA 98353",parks.state.wa.us,(360) 731-8330,State Park
Blyth Park,"47.75075761516558, -122.20898855922341",823 reviews,4.6,"16950 W Riverside Dr, Bothell, WA 98011",ci.bothell.wa.us,(425) 806-6760,Park
Boeing Creek Park,"47.75530788427224, -122.36345459896246",Not Available,Not Available,"Shoreline, WA 98133",Not Available,Not Available,Park
Bonfire,"47.6000599757771, -122.32600237272091",6 reviews,4,"605 South Main St, Seattle, WA 98104",thisisbonfire.com,(206) 790-1073,Art Gallery
Boombox Bar,"47.517189897837305, -122.3545710076564",117 reviews,4.7,"9608 16th Ave SW, Seattle, WA 98106",boomboxbar.com,(206) 557-4671,Bar & Grill
Bradner Gardens Park,"47.58748442098394, -122.29550718621476",76 reviews,4.7,"1730 Bradner Pl S, Seattle, WA 98144",seattle.gov,(206) 684-4075,Park
Buckley's in Queen Anne,"47.620973663788085, -122.35796787456933",909 reviews,4.4,"232 1st Ave W, Seattle, WA 98119",buckleyspubs.com,(206) 691-0232,Bar & Grill
Buddha Bruddah,"47.58375891814292, -122.30229268436587",418 reviews,4.5,"2201 Rainier Ave S, Seattle, WA 98144",buddhabruddah.com,(206) 556-4134,Restaurant
Buffalo Wild Wings,"47.61220920239841, -122.33709871005377","1,709 reviews",3.6,"1624 4th Ave, Seattle, WA 98101",buffalowildwings.com,(206) 467-2743,Chicken Wings Restaurant
Bug & Reptile Museum,"47.5539302459419, -122.65990988991337",125 reviews,4.5,"1118 Charleston Beach Rd W, Bremerton, WA 98312",bugmuseum.com,Not Available,Museum
Burger Madness Seattle,"47.56686155601355, -122.3299210150507",325 reviews,4.4,"4117 4th Ave S, Seattle, WA 98134",burgermadness.menu11.com,(206) 623-3178,Hamburger Restaurant
Burke Museum of Natural History and Culture,"47.66046927553504, -122.31151651504814",732 reviews,4.5,"4300 15th Ave NE, Seattle, WA 98105",burkemuseum.org,(206) 543-7907,Museum
Burrows Landing,"47.59763877998955, -122.21030475922764",28 reviews,4.4,"9505 SE 15th St, Bellevue, WA 98004",bellevuewa.gov,(425) 452-6885,Park
Butterfly Exhibit,"47.61915212045526, -122.350528816898",22 reviews,4.9,"200 2nd Ave N, Seattle, WA 98109",pacificsciencecenter.org,(206) 443-2001,Museum
Cafe Javasti,"47.69439608575957, -122.32233491640464",251 reviews,4.6,"8410 5th Ave NE, Seattle, WA 98115",javasti.com,(206) 985-9903,Coffee Shop
Calkins Landing,"47.585424901430336, -122.25336161689917",63 reviews,4.6,"2801 SE 28th St, Mercer Island, WA 98040",mercerisland.gov,(206) 275-7609,Park
Can Can Culinary Cabaret,"47.60974170780894, -122.34115160155616",363 reviews,4.7,"95 Pine St, Seattle, WA 98101",thecancan.com,(206) 652-0832,Dinner Theater
Canlis,"47.64323062086213, -122.34678568806187","1,846 reviews",4.7,"2576 Aurora Ave N, Seattle, WA 98109",canlis.com,(206) 283-3313,Pacific Northwest Restaurant (Us)
Canon,"47.61148990051625, -122.31661034573393","1,191 reviews",4.5,"928 12th Ave, Seattle, WA 98122",canonseattle.com,Not Available,Restaurant
Canvas! Paint & Sip Studio - Fremont,"47.65042147724248, -122.3495956015551",86 reviews,4.5,"3418 Fremont Ave N, Seattle, WA 98103",canvasseattle.com,(425) 822-2266,Art Center
CANVAS! Paint and Sip - Kirkland,"47.675350401260815, -122.20375950155437",173 reviews,4.6,"223 Kirkland Ave, Kirkland, WA 98033",canvaskirkland.com,(425) 822-2266,Painting Studio
Caoba Hair Salon & Spa,"47.72225637781895, -122.29324297271761",69 reviews,4.3,"12732 Lake City Way NE, Seattle, WA 98125",caobahairsalonspa.com,(206) 440-5977,Hair Salon
Carkeek Park,"47.71230418990179, -122.36831020240643","3,301 reviews",4.7,"950 NW Carkeek Park Rd, Seattle, WA 98177",seattle.gov,(206) 386-4236,Park
Carkeek Park Beach,"47.712361941361834, -122.38006900617701",151 reviews,4.8,"Seattle, WA 98177",Not Available,Not Available,Park
Carl S. English Jr. Botanical Garden,"47.666926310007206, -122.39746094388357",590 reviews,4.7,"3015 NW 54th St, Seattle, WA 98107",ballardlocks.org,(206) 783-7059,Botanical Garden
Casino Caribbean Kirkland,"47.73213961936912, -122.17288163833496",498 reviews,3.8,"12526 NE 144th St, Kirkland, WA 98034",playmaverickwashington.com,(425) 821-2222,Casino
Casita International,"47.62274714335293, -122.31284945922694",13 reviews,4.8,"423 15th Ave E, Seattle, WA 98112",casitainternational.com,(206) 322-7800,Gift Shop
Cedar Grove Natural Area,"47.46284961508349, -122.08460057272471",65 reviews,4.4,"Renton, WA 98058",kingcounty.gov,(206) 296-0100,Park
Cedar Grove Park,"47.30801713940257, -122.30419818054234",360 reviews,4.6,"22425 9th Ave SE, Bothell, WA 98021",ci.bothell.wa.us,(425) 806-6760,Park
Cedar River Dog Park,"47.47865820422338, -122.19603211505319",96 reviews,4.2,"Renton, WA 98057",Not Available,Not Available,Dog Park
Cedar River Park,"47.482370355154046, -122.19670805384236",495 reviews,4.6,"1717 Maple Valley Hwy, Renton, WA 98057",rentonwa.gov,(425) 430-6700,Park
Cedar River Trail Park,"47.49252912424254, -122.2121546903828",216 reviews,4.3,"1060 Nishiwaki Ln, Renton, WA 98057",rentonwa.gov,(425) 430-6700,Hiking Area
Centennial Park,"47.622763737364174, -122.36642943039143","1,520 reviews",4.7,"2711 Alaskan Way W, Seattle, WA 98121",portseattle.org,(206) 787-3000,Park
Centinnel Rhododendron park,"48.13843651491229, -122.77020249423148",Not Available,Not Available,"Port Townsend, WA 98368",Not Available,Not Available,Park
Central Cinema,"47.61345856231492, -122.30503839970717",782 reviews,4.8,"1411 21st Ave, Seattle, WA 98122",central-cinema.com,(206) 328-3230,Movie Theater
Central Park,"47.56382010114928, -122.29680327272212",2 reviews,5,"Unnamed Road, Seattle, WA 98108",Not Available,Not Available,Park
Central Park Tennis Club,"47.660061762405746, -122.17115899970595",22 reviews,5,"5820 125th Ln NE, Kirkland, WA 98033",centralparktennisclub.com,(425) 822-2206,Tennis Club
Central Saloon,"47.60077937000165, -122.33440183039204",704 reviews,4.5,"207 1st Ave S, Seattle, WA 98104",centralsaloon.com,(206) 622-0209,Bar
Cha Cha Lounge,"47.61456053813406, -122.31876084560761",509 reviews,4.2,"1013 E Pike St, Seattle, WA 98122",chachalounge.com,(206) 322-0703,Bar
Changes Hair Studio,"47.578299566479465, -122.28801348991277",17 reviews,4.3,"2807 Mt Rainier Dr S, Seattle, WA 98144",Not Available,(206) 725-0937,Beauty Salon
charm beauty spa,"47.595900101185286, -122.32208554573431",Not Available,Not Available,"815 S Dearborn St, Seattle, WA 98134",Not Available,Not Available,Beauty Salon
Chateau Ste. Michelle Winery,"47.730121157186936, -122.15081187271728","2,817 reviews",4.5,"14111 NE 145th St, Woodinville, WA 98072",ste-michelle.com,(425) 488-1133,Winery
Cheasty Greenspace at Mt. View,"47.56085509651731, -122.2979128862155",53 reviews,4.5,"4701 Mountain View Dr S, Seattle, WA 98108",Not Available,(206) 618-0105,Park
Chengdu Memory 蓉城老火锅,"47.59950667034123, -122.32673756107657",440 reviews,4.4,"520 S Jackson St, Seattle, WA 98104",chengdumemory.com,(206) 624-6289,Hot Pot Restaurant
Chi Mac - Seattle,"47.662289929607134, -122.31338915737697",502 reviews,4.2,"4525 University Way NE, Seattle, WA 98105",chimacseattle.com,(206) 888-8947,Chicken Wings Restaurant
Chinook Beach Park,"47.52055736142186, -122.25958908621651",55 reviews,4.1,"9560 Rainier Ave S, Seattle, WA 98118",seattle.gov,(206) 684-4075,Park
Chism Beach Park,"47.600074199794946, -122.21081068806322",98 reviews,4.6,"1175 96th Ave NE, Bellevue, WA 98004",bellevuewa.gov,Not Available,Park
Chophouse Row,"47.61381006560329, -122.31789894573394",112 reviews,4.6,"1424 11th Ave, Seattle, WA 98122",chophouserow.com,(206) 324-0637,Market
Chung Chun Rice Dog,"47.59860306064543, -122.32745760155652",566 reviews,4.6,"502 S King St, Seattle, WA 98104",clover.com,(206) 682-1300,Hot Dog Restaurant
Cinemark Lincoln Square Cinemas,"47.61697859982921, -122.20104416320041","2,844 reviews",4.3,"700 Bellevue Way NE #310, Bellevue, WA 98004",cinemark.com,(425) 450-9100,Movie Theater
Cinemark Reserve Dine-In - 21 and Over,"47.614765520744996, -122.20128019758268",961 reviews,4.5,"500 Bellevue Way NE Ste. 340, Bellevue, WA 98004",cinemark.com,(425) 455-8422,Movie Theater
Ciudad,"47.548382211667295, -122.31709251690026",770 reviews,4.7,"6118 12th Ave S, Seattle, WA 98108",ciudadseattle.com,(206) 717-2984,Bar & Grill
Civility & Sway,"47.617049953961114, -122.34807344388489",37 reviews,4.7,"2608 3rd Ave, Seattle, WA 98121",civilityandsway.com,(206) 582-9213,Beauty Salon
Civility & Unrest,"47.615005557179835, -122.2007660880627",199 reviews,4.1,"10455 Bellevue Way NE, Bellevue, WA 98004",civilityandunrest.com,(425) 454-7076,Cocktail Bar
Clark Lake Park,"47.38629855896139, -122.17384389971357",630 reviews,4.5,"12520 SE 240th St, Kent, WA 98031",kentwa.gov,(253) 856-5000,Park
Climate Pledge Arena,"47.62224483314824, -122.35407140155587","3,104 reviews",4.4,"334 1st Ave N, Seattle, WA 98109",climatepledgearena.com,(206) 752-7600,Arena
Club Comedy Seattle,"47.62180959756973, -122.31238177272031",63 reviews,4.8,"328 15th Ave E, Seattle, WA 98112",clubcomedyseattle.com,(206) 743-8175,Comedy Club
Clyde Beach Park,"47.6147238230519, -122.21724894388493",450 reviews,4.5,"2 92nd Ave NE, Bellevue, WA 98004",bellevuewa.gov,(425) 452-6885,Park
Coast Guard Museum Northwest,"47.59058717402422, -122.33771570340564",41 reviews,4.7,"1519 Alaskan Way S, Seattle, WA 98134",rexmwess.com,(206) 217-6993,Museum
CoCA,"47.601385142595895, -122.33000424388544",16 reviews,4.8,"114 3rd Ave S, Seattle, WA 98104",cocaseattle.org,(206) 728-1980,Art Gallery
CoCo & Company Hair Salon,"47.577108769935904, -122.37204061505045",57 reviews,4.8,"3013 SW Harbor Ln, Seattle, WA 98126",cocoseattle.com,(206) 953-8100,Hair Salon
Columbia City Theater,"47.557415567478515, -122.28458828991319",439 reviews,4.6,"4916 Rainier Ave S, Seattle, WA 98118",columbiacitytheater.com,(206) 722-3009,Live Music Venue
Columbia Park,"47.6594495327499, -122.28784883957165",77 reviews,4.5,"4721 Rainier Ave S, Seattle, WA 98118",seattle.gov,(206) 684-4075,Park
Combat Arts Academy of Seattle,"47.555803150551874, -122.36274050155764",27 reviews,5,"5050 Delridge Way SW, Seattle, WA 98106",caaseattle.com,(206) 420-1834,Martial Arts School
Commodore Park,"47.66555609281772, -122.40013607271898",381 reviews,4.6,"3330 W Commodore Way, Seattle, WA 98107",seattle.gov,(206) 684-4075,Park
COMMUNION Restaurant & Bar,"47.61328436489824, -122.30162421504944",251 reviews,4.5,"2350 E Union St, Seattle, WA 98122",communionseattle.com,(206) 391-8140,New American Restaurant
Confluence Park,"47.5368141030425, -122.04045757457152",370 reviews,4.6,"655 Rainier Blvd N, Issaquah, WA 98027",issaquahwa.gov,(425) 837-3300,Park
Connections Museum,"47.54098694679096, -122.32305865553145",127 reviews,4.9,"7000 E Marginal Way S, Seattle, WA 98108",telcomhistory.org,(206) 767-3012,Museum
Cook Weaver,"47.625385829747465, -122.32176927272022",302 reviews,4.8,"806 E Roy St, Seattle, WA 98102",cookweaver.com,(206) 324-0599,New American Restaurant
CORE Gallery,"47.60130183401797, -122.32965603039194",1 review,5,"117 Prefontaine Pl S, Seattle, WA 98104",coregallery.org,(206) 467-4444,Art Gallery
Corinthian Yacht Club Of Seattle,"47.68566785454675, -122.40354578436279",57 reviews,4.7,"7755 Seaview Avenue Northwest Pier V, Seattle, WA 98117",cycseattle.org,(206) 789-1919,Yacht Club
Cornish Playhouse,"47.62446743906964, -122.35266951689802",140 reviews,4.6,"201 Mercer St, Seattle, WA 98109",cornish.edu,(206) 726-5163,Performing Arts Theater
Cove Park,"47.5260631164237, -122.39258299479549",39 reviews,4.4,"4807 SW Barton St, Seattle, WA 98136",seattle.gov,(206) 233-3879,Park
Cowen Park,"47.672666241243434, -122.31271403038998",575 reviews,4.5,"5849 15th Ave NE, Seattle, WA 98105",seattle.gov,(206) 684-4075,Park
Cowgirls Inc.,"47.598623585033565, -122.33434019970773",614 reviews,3.7,"421 1st Ave S, Seattle, WA 98104",cowgirlsinc.com,(206) 340-0777,Bar
Crawfish King,"47.59667504321305, -122.3227842573789",965 reviews,4.3,"725 S Lane St, Seattle, WA 98104",crawfishkingwa.com,(206) 623-3622,Seafood Restaurant
Crystallography Gems,"47.552151360139035, -122.32508932854465",153 reviews,5,"650 S Orcas St Suite 217 (Showroom) & 218 (Office, Seattle, WA 98108",crystallographygems.com,(206) 209-9352,Rock Shop
CSz Seattle - Home of ComedySportz,"47.65100794553112, -122.35023083223962",161 reviews,4.7,"3509 Fremont Ave N, Seattle, WA 98103",cszseattle.com,(425) 954-5618,Comedy Club
Daawat Indian Grill & Bar,"47.61275979915824, -122.33132837087163","2,031 reviews",4,"820 Pike St, Seattle, WA 98101",daawatgrillbar.com,(206) 467-7272,Indian Restaurant
